,INSTNM,firstcity,CITY,Degree,Rank,STATE,S
0,Yale University,"New Haven, CT",New Haven,Law,1,CT,CT
1,Stanford University,"Stanford, CA",Stanford,Law,2,CA,CA
2,Harvard University,"Cambridge, MA",Cambridge,Law,3,MA,MA
3,University of Chicago,"Chicago, IL",Chicago,Law,4,IL,IL
4,Columbia University,"New York, NY",New York,Law,5,NY,NY
5,New York University,"New York, NY",New York,Law,6,NY,NY
6,University of Pennsylvania,"Philadelphia, PA",Philadelphia,Law,7,PA,PA
7,University of Virginia,"Charlottesville, VA",Charlottesville,Law,8,VA,VA
8,University of Michigan-Ann Arbor,"Ann Arbor, MI",Ann Arbor,Law,9,MI,MI
9,Duke University,"Durham, NC",Durham,Law,10,NC,NC
10,Northwestern University,"Chicago, IL",Chicago,Law,10,IL,IL
11,University of California-Berkeley,"Berkeley, CA",Berkeley,Law,10,CA,CA
12,Cornell University,"Ithaca, NY",Ithaca,Law,13,NY,NY
13,Georgetown University,"Washington, DC",Washington,Law,14,DC,DC
14,University of California-Los Angeles,"Los Angeles, CA",Los Angeles,Law,15,CA,CA
15,University of Texas at Austin,"Austin, TX",Austin,Law,16,TX,TX
16,University of Southern California,"Los Angeles, CA",Los Angeles,Law,17,CA,CA
17,Vanderbilt University,"Nashville, TN",Nashville,Law,18,TN,TN
18,Washington University in St. Louis,"St. Louis, MO",St. Louis,Law,18,MO,MO
19,University of Minnesota,"Minneapolis, MN",Minneapolis,Law,20,MN,MN
20,University of Pennsylvania,"Philadelphia, PA",Philadelphia,Business,1,PA,PA
21,Stanford University,"Stanford, CA",Stanford,Business,2,CA,CA
22,Harvard University,"Boston, MA",Boston,Business,3,MA,MA
23,Massachusetts Institute of Technology,"Cambridge, MA",Cambridge,Business,3,MA,MA
24,University of Chicago,"Chicago, IL",Chicago,Business,3,IL,IL
25,Columbia University,"New York, NY",New York,Business,6,NY,NY
26,Northwestern University,"Evanston, IL",Evanston,Business,6,IL,IL
27,University of California-Berkeley,"Berkeley, CA",Berkeley,Business,6,CA,CA
28,Yale University,"New Haven, CT",New Haven,Business,9,CT,CT
29,Duke University,"Durham, NC",Durham,Business,10,NC,NC
30,University of Michigan-Ann Arbor,"Ann Arbor, MI",Ann Arbor,Business,10,MI,MI
31,Dartmouth College,"Hanover, NH",Hanover,Business,12,NH,NH
32,New York University,"New York, NY",New York,Business,12,NY,NY
33,University of Virginia,"Charlottesville, VA",Charlottesville,Business,12,VA,VA
34,Cornell University,"Ithaca, NY",Ithaca,Business,15,NY,NY
35,University of California-Los Angeles,"Los Angeles, CA",Los Angeles,Business,16,CA,CA
36,Carnegie Mellon University,"Pittsburgh, PA",Pittsburgh,Business,17,PA,PA
37,University of Southern California,"Los Angeles, CA",Los Angeles,Business,17,CA,CA
38,University of North Carolina at Chapel Hill,"Chapel Hill, NC",Chapel Hill,Business,19,NC,NC
39,University of Texas at Austin,"Austin, TX",Austin,Business,19,TX,TX
40,Harvard University,"Cambridge, MA",Cambridge,Education,1,MA,MA
41,University of Pennsylvania,"Philadelphia, PA",Philadelphia,Education,2,PA,PA
42,Stanford University,"Stanford, CA",Stanford,Education,3,CA,CA
43,University of California-Los Angeles,"Los Angeles, CA",Los Angeles,Education,3,CA,CA
44,University of Wisconsin-Madison,"Madison, WI",Madison,Education,3,WI,WI
45,Vanderbilt University,"Nashville, TN",Nashville,Education,6,TN,TN
46,Johns Hopkins University,"Baltimore, MD",Baltimore,Education,7,MD,MD
47,New York University,"New York, NY",New York,Education,7,NY,NY
48,Columbia University,"New York, NY",New York,Education,7,NY,NY
49,Northwestern University,"Evanston, IL",Evanston,Education,10,IL,IL
50,University of Michigan-Ann Arbor,"Ann Arbor, MI",Ann Arbor,Education,11,MI,MI
51,University of Southern California,"Los Angeles, CA",Los Angeles,Education,12,CA,CA
52,University of Texas at Austin,"Austin, TX",Austin,Education,13,TX,TX
53,University of Oregon,"Eugene, OR",Eugene,Education,14,OR,OR
54,University of Washington,"Seattle, WA",Seattle,Education,14,WA,WA
55,Arizona State University,"Phoenix, AZ",Phoenix,Education,16,AZ,AZ
56,University of Virginia,VA,VA,Education,17,VA,VA
57,University of California-Berkeley,"Berkeley, CA",Berkeley,Education,18,CA,CA
58,University of Kansas,"Lawrence, KS",Lawrence,Education,18,KS,KS
59,Virginia Commonwealth University,"Richmond, VA",Richmond,Education,20,VA,VA
60,Massachusetts Institute of Technology,"Cambridge, MA",Cambridge,Engineering,1,MA,MA
61,Stanford University,"Stanford, CA",Stanford,Engineering,2,CA,CA
62,University of California-Berkeley,"Berkeley, CA",Berkeley,Engineering,3,CA,CA
63,Carnegie Mellon University,"Pittsburgh, PA",Pittsburgh,Engineering,4,PA,PA
64,California Institute of Technology,"Pasadena, CA",Pasadena,Engineering,5,CA,CA
65,University of Michigan-Ann Arbor,"Ann Arbor, MI",Ann Arbor,Engineering,5,MI,MI
66,Georgia Institute of Technology,"Atlanta, GA",Atlanta,Engineering,7,GA,GA
67,Purdue University-Main Campus,"West Lafayette, IN",West Lafayette,Engineering,8,IN,IN
68,University of Southern California,"Los Angeles, CA",Los Angeles,Engineering,9,CA,CA
69,University of Illinois-Urbana-Champaign,"Urbana, IL",Urbana,Engineering,10,IL,IL
70,Columbia University,"New York, NY",New York,Engineering,11,NY,NY
71,University of California-San Diego ,"La Jolla, CA",La Jolla,Engineering,11,CA,CA
72,University of Texas at Austin ,"Austin, TX",Austin,Engineering,11,TX,TX
73,Cornell University,"Ithaca, NY",Ithaca,Engineering,14,NY,NY
74,Texas A & M University-College Station,"College Station, TX",College Station,Engineering,15,TX,TX
75,University of California-Los Angeles,"Los Angeles, CA",Los Angeles,Engineering,16,CA,CA
76,Johns Hopkins University,"Baltimore, MD",Baltimore,Engineering,17,MD,MD
77,Princeton University,"Princeton, NJ",Princeton,Engineering,17,NJ,NJ
78,University of Pennsylvania,"Philadelphia, PA",Philadelphia,Engineering,17,PA,PA
79,Northwestern University,"Evanston, IL",Evanston,Engineering,20,IL,IL
80,University of North Carolina at Chapel Hill,"Chapel Hill, NC",Chapel Hill,Medicine,1,NC,NC
81,University of Washington,"Seattle, WA",Seattle,Medicine,2,WA,WA
82,University of California-San Francisco,"San Francisco, CA",San Francisco,Medicine,3,CA,CA
83,Baylor College of Medicine,"Houston, TX",Houston,Medicine,4,TX,TX
84,University of California-Los Angeles,"Los Angeles, CA",Los Angeles,Medicine,5,CA,CA
85,Oregon Health and Science University,"Portland, OR",Portland,Medicine,6,OR,OR
86,University of Michigan-Ann Arbor,"Ann Arbor, MI",Ann Arbor,Medicine,6,MI,MI
87,University of Nebraska Medical Center,"Omaha, NE",Omaha,Medicine,8,NE,NE
88,University of California-Davis,"Sacramento, CA",Sacramento,Medicine,9,CA,CA
89,University of Minnesota,"Minneapolis, MN",Minneapolis,Medicine,10,MN,MN
90,University of Pennsylvania,"Philadelphia, PA",Philadelphia,Medicine,10,PA,PA
91,University of Colorado,"Aurora, CO",Aurora,Medicine,12,CO,CO
92,Washington University in St. Louis,"St. Louis, MO",St. Louis,Medicine,12,MO,MO
93,University of Pittsburgh,"Pittsburgh, PA",Pittsburgh,Medicine,14,PA,PA
94,University of Massachusetts-Worcester,"Worcester, MA",Worcester,Medicine,15,MA,MA
95,University of Wisconsin-Madison,"Madison, WI",Madison,Medicine,16,WI,WI
96,Harvard University,"Boston, MA",Boston,Medicine,17,MA,MA
97,Dartmouth College,"Hanover, NH",Hanover,Medicine,18,NH,NH
98,University of Chicago,"Chicago, IL",Chicago,Medicine,18,IL,IL
99,University of Texas Southwestern Medical Center,"Dallas, TX",Dallas,Medicine,18,TX,TX
100,Johns Hopkins University,"Baltimore, MD",Baltimore,Nursing,1,MD,MD
101,Duke University,"Durham, NC",Durham,Nursing,2,NC,NC
102,University of Pennsylvania,"Philadelphia, PA",Philadelphia,Nursing,3,PA,PA
103,Emory University,"Atlanta, GA",Atlanta,Nursing,4,GA,GA
104,Columbia University,"New York, NY",New York,Nursing,5,NY,NY
105,University of North Carolina at Chapel Hill,"Chapel Hill, NC",Chapel Hill,Nursing,5,NC,NC
