,INSTNM,firstcity,CITY,Degree,Rank,STATE
0,Yale University,"New Haven, CT",New Haven,Law,1,CT
1,Stanford University,"Stanford, CA",Stanford,Law,2,CA
2,Harvard University,"Cambridge, MA",Cambridge,Law,3,MA
3,University of Chicago,"Chicago, IL",Chicago,Law,4,IL
4,Columbia University in the City of New York,"New York, NY",New York,Law,5,NY
5,New York University,"New York, NY",New York,Law,6,NY
6,University of Pennsylvania,"Philadelphia, PA",Philadelphia,Law,7,PA
7,University of Virginia-Main Campus,"Charlottesville, VA",Charlottesville,Law,8,VA
8,University of Michigan-Ann Arbor,"Ann Arbor, MI",Ann Arbor,Law,9,MI
9,Duke University,"Durham, NC",Durham,Law,10,NC
10,Northwestern University,"Chicago, IL",Chicago,Law,10,IL
11,University of California-Berkeley,"Berkeley, CA",Berkeley,Law,10,CA
12,Cornell University,"Ithaca, NY",Ithaca,Law,13,NY
13,Georgetown University,"Washington, DC",Washington,Law,14,DC
14,University of California-Los Angeles,"Los Angeles, CA",Los Angeles,Law,15,CA
15,The University of Texas at Austin,"Austin, TX",Austin,Law,16,TX
16,University of Southern California,"Los Angeles, CA",Los Angeles,Law,17,CA
17,Vanderbilt University,"Nashville, TN",Nashville,Law,18,TN
18,Washington University in St Louis,"St. Louis, MO",St. Louis,Law,18,MO
19,University of Minnesota-Twin Cities,"Minneapolis, MN",Minneapolis,Law,20,MN
20,University of Pennsylvania,"Philadelphia, PA",Philadelphia,Business,1,PA
21,Stanford University,"Stanford, CA",Stanford,Business,2,CA
22,Harvard University,"Boston, MA",Boston,Business,3,MA
23,Massachusetts Institute of Technology,"Cambridge, MA",Cambridge,Business,3,MA
24,University of Chicago,"Chicago, IL",Chicago,Business,3,IL
25,Columbia University in the City of New York,"New York, NY",New York,Business,6,NY
26,Northwestern University,"Evanston, IL",Evanston,Business,6,IL
27,University of California-Berkeley,"Berkeley, CA",Berkeley,Business,6,CA
28,Yale University,"New Haven, CT",New Haven,Business,9,CT
29,Duke University,"Durham, NC",Durham,Business,10,NC
30,University of Michigan-Ann Arbor,"Ann Arbor, MI",Ann Arbor,Business,10,MI
31,Dartmouth College,"Hanover, NH",Hanover,Business,12,NH
32,New York University,"New York, NY",New York,Business,12,NY
33,University of Virginia-Main Campus,"Charlottesville, VA",Charlottesville,Business,12,VA
34,Cornell University,"Ithaca, NY",Ithaca,Business,15,NY
35,University of California-Los Angeles,"Los Angeles, CA",Los Angeles,Business,16,CA
36,Carnegie Mellon University,"Pittsburgh, PA",Pittsburgh,Business,17,PA
37,University of Southern California,"Los Angeles, CA",Los Angeles,Business,17,CA
38,University of North Carolina at Chapel Hill,"Chapel Hill, NC",Chapel Hill,Business,19,NC
39,University of Texas at Austin,"Austin, TX",Austin,Business,19,TX
40,Harvard University,"Cambridge, MA",Cambridge,Education,1,MA
41,University of Pennsylvania,"Philadelphia, PA",Philadelphia,Education,2,PA
42,Stanford University,"Stanford, CA",Stanford,Education,3,CA
43,University of California-Los Angeles,"Los Angeles, CA",Los Angeles,Education,3,CA
44,University of Wisconsin-Madison,"Madison, WI",Madison,Education,3,WI
45,Vanderbilt University,"Nashville, TN",Nashville,Education,6,TN
46,Johns Hopkins University,"Baltimore, MD",Baltimore,Education,7,MD
47,New York University,"New York, NY",New York,Education,7,NY
48,Columbia University in the City of New York,"New York, NY",New York,Education,7,NY
49,Northwestern University,"Evanston, IL",Evanston,Education,10,IL
