INSTNM,X,Y,CITY,STATE,INSTNM-2,Degree,Rank,LON,LAT
Yale University,-72.92668914,41.31116641,New Haven,CT,Yale University,Law,1,-72.92668914,41.31116641
Stanford University,-122.1644471,37.42953693,Stanford,CA,Stanford University,Law,2,-122.1644471,37.42953693
Harvard University,-71.11831361,42.37447967,Cambridge,MA,Harvard University,Law,3,-71.11831361,42.37447967
University of Chicago,-87.60120173,41.78917784,Chicago,IL,University of Chicago,Law,4,-87.60120173,41.78917784
New York University,-73.99726545,40.72946026,New York,NY,New York University,Law,6,-73.99726545,40.72946026
University of Pennsylvania,-75.19391178,39.95093706,Philadelphia,PA,University of Pennsylvania,Law,7,-75.19391178,39.95093706
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Law,9,-83.74277362,42.27592913
Duke University,-78.93762671,36.00114212,Durham,NC,Duke University,Law,10,-78.93762671,36.00114212
Northwestern University,-87.67986378,42.05036388,Evanston,IL,Northwestern University,Law,10,-87.67986378,42.05036388
University of California-Berkeley,-122.2604762,37.87192296,Berkeley,CA,University of California-Berkeley,Law,10,-122.2604762,37.87192296
Cornell University,-76.48308636,42.44720849,Ithaca,NY,Cornell University,Law,13,-76.48308636,42.44720849
Georgetown University,-77.07346531,38.90881679,Washington,DC,Georgetown University,Law,14,-77.07346531,38.90881679
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Law,15,-118.4439132,34.06889685
University of Southern California,-118.2841812,34.02128585,Los Angeles,CA,University of Southern California,Law,17,-118.2841812,34.02128585
Vanderbilt University,-86.80337404,36.14659683,Nashville,TN,Vanderbilt University,Law,18,-86.80337404,36.14659683
University of Pennsylvania,-75.19391178,39.95093706,Philadelphia,PA,University of Pennsylvania,Business,1,-75.19391178,39.95093706
Stanford University,-122.1644471,37.42953693,Stanford,CA,Stanford University,Business,2,-122.1644471,37.42953693
Harvard University,-71.11831361,42.37447967,Cambridge,MA,Harvard University,Business,3,-71.11831361,42.37447967
Massachusetts Institute of Technology,-71.0921156,42.36010367,Cambridge,MA,Massachusetts Institute of Technology,Business,3,-71.0921156,42.36010367
University of Chicago,-87.60120173,41.78917784,Chicago,IL,University of Chicago,Business,3,-87.60120173,41.78917784
Northwestern University,-87.67986378,42.05036388,Evanston,IL,Northwestern University,Business,6,-87.67986378,42.05036388
University of California-Berkeley,-122.2604762,37.87192296,Berkeley,CA,University of California-Berkeley,Business,6,-122.2604762,37.87192296
Yale University,-72.92668914,41.31116641,New Haven,CT,Yale University,Business,9,-72.92668914,41.31116641
Duke University,-78.93762671,36.00114212,Durham,NC,Duke University,Business,10,-78.93762671,36.00114212
Dartmouth College,-72.28995008,43.70412388,Hanover,NH,Dartmouth College,Business,12,-72.28995008,43.70412388
New York University,-73.99726545,40.72946026,New York,NY,New York University,Business,12,-73.99726545,40.72946026
Cornell University,-76.48308636,42.44720849,Ithaca,NY,Cornell University,Business,15,-76.48308636,42.44720849
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Business,16,-118.4439132,34.06889685
Carnegie Mellon University,-79.9429173,40.44462397,Pittsburgh,PA,Carnegie Mellon University,Business,17,-79.9429173,40.44462397
University of Southern California,-118.2841812,34.02128585,Los Angeles,CA,University of Southern California,Business,17,-118.2841812,34.02128585
