,INSTNM,firstcity,Degree,Rank,CITY,STATE
0,Massachusetts Institute of Technology,"Cambridge, MA",Biological Sciences,1,Cambridge,MA
1,University of California-Berkeley,"Berkeley, CA",Biological Sciences,1,Berkeley,CA
2,Harvard University,"Boston, MA",Biological Sciences,4,Boston,MA
3,Princeton University,"Princeton, NJ",Biological Sciences,6,Princeton,NJ
4,Yale University,"New Haven, CT",Biological Sciences,6,New Haven,CT
5,Duke University,"Durham, NC",Biological Sciences,10,Durham,NC
6,Rockefeller University,"New York, NY",Biological Sciences,13,New York,NY
7,Washington University in St Louis,"St. Louis, MO",Biological Sciences,13,St. Louis,MO
8,University of California-San Diego,"La Jolla, CA",Biological Sciences,16,La Jolla,CA
9,University of California-Davis,"Davis, CA",Biological Sciences,18,Davis,CA
10,Stanford University,"Stanford, CA",Biological Sciences,1,Stanford,CA
11,California Institute of Technology,"Pasadena, CA",Biological Sciences,4,Pasadena,CA
12,Johns Hopkins University,"Baltimore, MD",Biological Sciences,6,Baltimore,MD
13,University of California-San Francisco,"San Francisco, CA",Biological Sciences,6,San Francisco,CA
14,Cornell University,"Ithaca, NY",Biological Sciences,10,Ithaca,NY
15,The Scripps Research Institute,"La Jolla, CA",Biological Sciences,10,La Jolla,CA
16,University of Chicago,"Chicago, IL",Biological Sciences,13,Chicago,IL
17,Cold Spring Harbor Laboratory,Cold Spring,Biological Sciences,16,Cold Spring Harbor,NY
18,Columbia University in the City of New York,"New York, NY",Biological Sciences,18,New York,NY
19,University of California-Los Angeles,"Los Angeles, CA",Biological Sciences,18,Los Angeles,CA
20,California Institute of Technology,"Pasadena, CA",Chemistry,1,Pasadena,CA
21,Massachusetts Institute of Technology,"Cambridge, MA",Chemistry,2,Cambridge,MA
22,University of California-Berkeley,"Berkeley, CA",Chemistry,2,Berkeley,CA
23,The Scripps Research Institute,"La Jolla, CA",Chemistry,6,La Jolla,CA
24,Columbia University in the City of New York,"New York, NY",Chemistry,9,New York,NY
25,Princeton University,"Princeton, NJ",Chemistry,9,Princeton,NJ
26,Yale University,"New Haven, CT",Chemistry,9,New Haven,CT
27,University of California-Los Angeles,"Los Angeles, CA",Chemistry,15,Los Angeles,CA
28,University of North Carolina at Chapel Hill,"Chapel Hill, NC",Chemistry,15,Chapel Hill,NC
29,University of Pennsylvania,"Philadelphia, PA",Chemistry,19,Philadelphia,PA
30,Harvard University,"Cambridge, MA",Chemistry,2,Cambridge,MA
31,Stanford University,"Stanford, CA",Chemistry,2,Stanford,CA
32,Northwestern University,"Evanston, IL",Chemistry,6,Evanston,IL
33,University of Illinois at Urbana-Champaign,"Urbana, IL",Chemistry,6,Urbana,IL
34,Cornell University,"Ithaca, NY",Chemistry,9,Ithaca,NY
35,University of Wisconsin-Madison,"Madison, WI",Chemistry,9,Madison,WI
36,University of Chicago,"Chicago, IL",Chemistry,14,Chicago,IL
37,University of Michigan-Ann Arbor,"Ann Arbor, MI",Chemistry,15,Ann Arbor,MI
