INSTNM,X,Y,CITY,STATE,INSTNM-2,Degree,Rank,LON,LAT
Massachusetts Institute of Technology,-71.0921156,42.36010367,Cambridge,MA,Massachusetts Institute of Technology,Biological Sciences,1,-71.0921156,42.36010367
University of California-Berkeley,-122.2604762,37.87192296,Berkeley,CA,University of California-Berkeley,Biological Sciences,1,-122.2604762,37.87192296
Harvard University,-71.11831361,42.37447967,Cambridge,MA,Harvard University,Biological Sciences,4,-71.11831361,42.37447967
Princeton University,-74.65936664,40.34874016,Princeton,NJ,Princeton University,Biological Sciences,6,-74.65936664,40.34874016
Yale University,-72.92668914,41.31116641,New Haven,CT,Yale University,Biological Sciences,6,-72.92668914,41.31116641
Duke University,-78.93762671,36.00114212,Durham,NC,Duke University,Biological Sciences,10,-78.93762671,36.00114212
Rockefeller University,-73.95491344,40.76293527,New York,NY,Rockefeller University,Biological Sciences,13,-73.95491344,40.76293527
Washington University in St. Louis,-90.31061022,38.64793614,Saint Louis,MO,Washington University in St. Louis,Biological Sciences,13,-90.31061022,38.64793614
University of California-San Diego,-117.2378049,32.87660278,La Jolla,CA,University of California-San Diego,Biological Sciences,16,-117.2378049,32.87660278
University of California-Davis,-121.7519712,38.53990006,Davis,CA,University of California-Davis,Biological Sciences,18,-121.7519712,38.53990006
Stanford University,-122.1644471,37.42953693,Stanford,CA,Stanford University,Biological Sciences,1,-122.1644471,37.42953693
California Institute of Technology,-118.1257522,34.13927987,Pasadena,CA,California Institute of Technology,Biological Sciences,4,-118.1257522,34.13927987
Johns Hopkins University,-76.62159719,39.32898489,Baltimore,MD,Johns Hopkins University,Biological Sciences,6,-76.62159719,39.32898489
University of California-San Francisco,-122.4580622,37.76274094,San Francisco,CA,University of California-San Francisco,Biological Sciences,6,-122.4580622,37.76274094
Cornell University,-76.48308636,42.44720849,Ithaca,NY,Cornell University,Biological Sciences,10,-76.48308636,42.44720849
The Scripps Research Institute,-117.242234,32.897998,La Jolla,CA,The Scripps Research Institute,Biological Sciences,10,-117.242234,32.897998
University of Chicago,-87.60120173,41.78917784,Chicago,IL,University of Chicago,Biological Sciences,13,-87.60120173,41.78917784
Cold Spring Harbor Laboratory,-73.466782,40.857761,Cold Spring Harbor,NY,Cold Spring Harbor Laboratory,Biological Sciences,16,-73.466782,40.857761
Columbia University in the City of New York,-73.96188644,40.80829428,Columbia,NY,Columbia University in the City of New York,Biological Sciences,18,-73.96188644,40.80829428
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Biological Sciences,18,-118.4439132,34.06889685
University of Texas Southwestern Medical Center,-96.84116354,32.81231274,Dallas,TX,,Biological Sciences,18,-96.84116354,32.81231274
University of Wisconsin-Madison,-89.4053624,43.07386595,Madison,WI,,Biological Sciences,18,-89.4053624,43.07386595
California Institute of Technology,-118.1257522,34.13927987,Pasadena,CA,California Institute of Technology,Chemistry,1,-118.1257522,34.13927987
Massachusetts Institute of Technology,-71.0921156,42.36010367,Cambridge,MA,Massachusetts Institute of Technology,Chemistry,2,-71.0921156,42.36010367
University of California-Berkeley,-122.2604762,37.87192296,Berkeley,CA,University of California-Berkeley,Chemistry,2,-122.2604762,37.87192296
The Scripps Research Institute,-117.242234,32.897998,La Jolla,CA,The Scripps Research Institute,Chemistry,6,-117.242234,32.897998
Columbia University in the City of New York,-73.96188644,40.80829428,Columbia,NY,Columbia University in the City of New York,Chemistry,9,-73.96188644,40.80829428
Princeton University,-74.65936664,40.34874016,Princeton,NJ,Princeton University,Chemistry,9,-74.65936664,40.34874016
Yale University,-72.92668914,41.31116641,New Haven,CT,Yale University,Chemistry,9,-72.92668914,41.31116641
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Chemistry,15,-118.4439132,34.06889685
University of North Carolina at Chapel Hill,-79.05097174,35.91177609,Chapel Hill,NC,University of North Carolina at Chapel Hill,Chemistry,15,-79.05097174,35.91177609
University of Pennsylvania,-75.19391178,39.95093706,Philadelphia,PA,University of Pennsylvania,Chemistry,19,-75.19391178,39.95093706
Harvard University,-71.11831361,42.37447967,Cambridge,MA,Harvard University,Chemistry,2,-71.11831361,42.37447967
Stanford University,-122.1644471,37.42953693,Stanford,CA,Stanford University,Chemistry,2,-122.1644471,37.42953693
