Institution Name,City,State,Degree,Rank,Latitude,Longitude
Yale University,New Haven,CT,Law,1,41.31116641,-72.92668914
Stanford University,Stanford,CA,Law,2,37.42953693,-122.1644471
Harvard University,Cambridge,MA,Law,3,42.37447967,-71.11831361
University of Chicago,Chicago,IL,Law,4,41.78917784,-87.60120173
Columbia University in the City of New York,New York,NY,Law,5,40.80829428,-73.96188644
New York University,New York,NY,Law,6,40.72946026,-73.99726545
University of Pennsylvania,Philadelphia,PA,Law,7,39.95093706,-75.19391178
University of Virginia-Main Campus,Charlottesville,VA,Law,8,38.03567256,-78.5034307
University of Michigan-Ann Arbor,Ann Arbor,MI,Law,9,42.27592913,-83.74277362
Duke University,Durham,NC,Law,10,36.00114212,-78.93762671
Northwestern University,Evanston,IL,Law,10,42.05036388,-87.67986378
University of California-Berkeley,Berkeley,CA,Law,10,37.87192296,-122.2604762
Cornell University,Ithaca,NY,Law,13,42.44720849,-76.48308636
Georgetown University,Washington,DC,Law,14,38.90881679,-77.07346531
University of California-Los Angeles,Los Angeles,CA,Law,15,34.06889685,-118.4439132
The University of Texas at Austin,Austin,TX,Law,16,30.28609522,-97.73929863
University of Southern California,Los Angeles,CA,Law,17,34.02128585,-118.2841812
Vanderbilt University,Nashville,TN,Law,18,36.14659683,-86.80337404
Washington University in St Louis,Saint Louis,MO,Law,18,38.64793614,-90.31061022
University of Minnesota-Twin Cities,Minneapolis,MN,Law,20,44.977894,-93.23535974
University of Pennsylvania,Philadelphia,PA,Business,1,39.95093706,-75.19391178
Stanford University,Stanford,CA,Business,2,37.42953693,-122.1644471
Harvard University,Cambridge,MA,Business,3,42.37447967,-71.11831361
Massachusetts Institute of Technology,Cambridge,MA,Business,3,42.36010367,-71.0921156
University of Chicago,Chicago,IL,Business,3,41.78917784,-87.60120173
Columbia University in the City of New York,New York,NY,Business,6,40.80829428,-73.96188644
Northwestern University,Evanston,IL,Business,6,42.05036388,-87.67986378
University of California-Berkeley,Berkeley,CA,Business,6,37.87192296,-122.2604762
Yale University,New Haven,CT,Business,9,41.31116641,-72.92668914
Duke University,Durham,NC,Business,10,36.00114212,-78.93762671
University of Michigan-Ann Arbor,Ann Arbor,MI,Business,10,42.27592913,-83.74277362
Dartmouth College,Hanover,NH,Business,12,43.70412388,-72.28995008
New York University,New York,NY,Business,12,40.72946026,-73.99726545
University of Virginia-Main Campus,Charlottesville,VA,Business,12,38.03567256,-78.5034307
Cornell University,Ithaca,NY,Business,15,42.44720849,-76.48308636
University of California-Los Angeles,Los Angeles,CA,Business,16,34.06889685,-118.4439132
Carnegie Mellon University,Pittsburgh,PA,Business,17,40.44462397,-79.9429173
University of Southern California,Los Angeles,CA,Business,17,34.02128585,-118.2841812
University of North Carolina at Chapel Hill,Chapel Hill,NC,Business,19,35.91177609,-79.05097174
The University of Texas at Austin,NULL,NULL,Business,19,30.28609522,-97.73929863
Harvard University,Cambridge,MA,Education,1,42.37447967,-71.11831361
University of Pennsylvania,Philadelphia,PA,Education,2,39.95093706,-75.19391178
Stanford University,Stanford,CA,Education,3,37.42953693,-122.1644471
University of California-Los Angeles,Los Angeles,CA,Education,3,34.06889685,-118.4439132
University of Wisconsin-Madison,Madison,WI,Education,3,43.07386595,-89.4053624
Vanderbilt University,Nashville,TN,Education,6,36.14659683,-86.80337404
Johns Hopkins University,Baltimore,MD,Education,7,39.32898489,-76.62159719
New York University,New York,NY,Education,7,40.72946026,-73.99726545
Columbia University in the City of New York,New York,NY,Education,7,40.80829428,-73.96188644
Northwestern University,Evanston,IL,Education,10,42.05036388,-87.67986378
University of Michigan-Ann Arbor,Ann Arbor,MI,Education,11,42.27592913,-83.74277362
University of Southern California,Los Angeles,CA,Education,12,34.02128585,-118.2841812
The University of Texas at Austin,Austin,TX,Education,13,30.28609522,-97.73929863
University of Oregon,Eugene,OR,Education,14,44.04515134,-123.0758063
University of Washington-Seattle Campus,Seattle,WA,Education,14,47.65621862,-122.3131299
Arizona State University-Downtown Phoenix,Phoenix,AZ,Education,16,33.45343512,-112.073232
University of Virginia-Main Campus,Charlottesville,VA,Education,17,38.03567256,-78.5034307
University of California-Berkeley,Berkeley,CA,Education,18,37.87192296,-122.2604762
University of Kansas,Lawrence,KS,Education,18,38.95855592,-95.2475746
Virginia Commonwealth University,Richmond,VA,Education,20,37.54763849,-77.45359934
Massachusetts Institute of Technology,Cambridge,MA,Engineering,1,42.36010367,-71.0921156
Stanford University,Stanford,CA,Engineering,2,37.42953693,-122.1644471
University of California-Berkeley,Berkeley,CA,Engineering,3,37.87192296,-122.2604762
Carnegie Mellon University,Pittsburgh,PA,Engineering,4,40.44462397,-79.9429173
California Institute of Technology,Pasadena,CA,Engineering,5,34.13927987,-118.1257522
University of Michigan-Ann Arbor,Ann Arbor,MI,Engineering,5,42.27592913,-83.74277362
Georgia Institute of Technology-Main Campus,Atlanta,GA,Engineering,7,33.77242644,-84.39483621
Purdue University-Main Campus,West Lafayette,IN,Engineering,8,40.42821364,-86.9144404
University of Southern California,Los Angeles,CA,Engineering,9,34.02128585,-118.2841812
University of Illinois at Urbana-Champaign,Champaign,IL,Engineering,10,40.10887151,-88.23031476
Columbia University in the City of New York,New York,NY,Engineering,11,40.80829428,-73.96188644
University of California-San Diego,La Jolla,CA,Engineering,11,32.87660278,-117.2378049
The University of Texas at Austin,Austin,TX,Engineering,11,30.28609522,-97.73929863
Cornell University,Ithaca,NY,Engineering,14,42.44720849,-76.48308636
